Inventarisnr.;;Inv.srt,Omschrijving,Straat,Thv,Deelgem.;Mutdatum
FT160,FT,Fietstrommel,WESTERSTR,24,Centrum,8-7-2010
FT161,FT,Fietstrommel,WYNHAVEN,19,Centrum,8-7-2010
FT162,FT,Fietstrommel,STATIONSSNGL,91,Noord,19-7-2011
FT163,FT,Fietstrommel,WESTZEEDK,341,Centrum,16-9-2010
FT164,FT,Fietstrommel,BLEKERSTR,8,Centrum,30-5-2012
FT165,FT,Fietstrommel,GOUDSESNGL,266,Centrum,8-7-2010
FT166,FT,Fietstrommel,ORANJESTR,29,Overschie,8-7-2010
FT167,FT,Fietstrommel,BREITNERSTR,17-A,Centrum,8-7-2010
FT168,FT,Fietstrommel,BREITNERSTR,17-A,Centrum,8-7-2010
FT169,FT,Fietstrommel,ROCHUSSENSTR,29,Centrum,8-7-2010
FT17,FT,Fietstrommel,C DE VRIESELN,52,Delfshaven,7-6-2009
FT170,FT,Fietstrommel,ROCHUSSENSTR,31,Centrum,8-7-2010
FT171,FT,Fietstrommel,ROCHUSSENSTR,33,Centrum,8-7-2010
FT172,FT,Fietstrommel,ROCHUSSENSTR,35,Centrum,8-7-2010
FT173,FT,Fietstrommel,KRALINGSE PLASLN,Kralingen/Crooswijk,8-7-2010
FT174,FT,Fietstrommel,2E JERICHOSTR,15,Kralingen/Crooswijk,8-7-2010
FT175,FT,Fietstrommel,2E JERICHOSTR,15,Kralingen/Crooswijk,8-7-2010
FT176,FT,Fietstrommel,JERICHOLN,95,Kralingen/Crooswijk,8-7-2010
FT177,FT,Fietstrommel,WOLPHAERTSBOCHT,355,Charlois,8-7-2010
FT178,FT,Fietstrommel,MYNSHERENLN,123,Charlois,8-7-2010
FT179,FT,Fietstrommel,BOERGOENSESTR,56,Charlois,8-7-2010
FT18,FT,Fietstrommel,PUTSEBOCHT,135A,Feijenoord,6-7-2010
FT180,FT,Fietstrommel,STREVELSWG,134,Feijenoord,8-7-2010
FT181,FT,Fietstrommel,RANDWG,106,Feijenoord,3-1-2012
FT182,FT,Fietstrommel,RANDWG,136,Feijenoord,8-7-2010
FT183,FT,Fietstrommel,HILLEDK,265,Feijenoord,8-7-2010
FT184,FT,Fietstrommel,VD TAKSTR,35,Feijenoord,8-7-2010
FT185,FT,Fietstrommel,PR HENDRIKKD,114,Feijenoord,8-7-2010
FT186,FT,Fietstrommel,PR HENDRIKKD,114,Feijenoord,8-7-2010
FT187,FT,Fietstrommel,PR HENDRIKKD,153,Feijenoord,8-7-2010
FT188,FT,Fietstrommel,BREITNERSTR,93,Centrum,8-7-2010
FT189,FT,Fietstrommel,JACOBUSSTR,191,Centrum,8-7-2010
FT19,FT,Fietstrommel,W VARKENOORDSEWG,139,Feijenoord,8-7-2011
FT190,FT,Fietstrommel,BAAN,50,Centrum,8-7-2010
FT191,FT,Fietstrommel,BAAN,50,Centrum,3-8-2012
FT192,FT,Fietstrommel,ST MARIASTR,114,Centrum,7-6-2009
FT193,FT,Fietstrommel,V VOLLENHOVENSTR,34,Centrum,7-6-2009
FT194,FT,Fietstrommel,HAAGSEVEER,94,Centrum,7-6-2009
FT195,FT,Fietstrommel,STATENSNGL,177,Noord,7-6-2009
FT196,FT,Fietstrommel,SCHEPENSTR,99,Noord,7-6-2009
FT197,FT,Fietstrommel,SCHEPENSTR,99,Noord,8-7-2010
FT198,FT,Fietstrommel,BESEMERSTR,4,Noord,7-6-2009
FT199,FT,Fietstrommel,BESEMERSTR,4,Noord,7-6-2009
FT2,FT,Fietstrommel,ESSENBURGSNGL,8,Delfshaven,6-7-2010
FT20,FT,Fietstrommel,BREEWG,16,Feijenoord,8-7-2011
FT200,FT,Fietstrommel,BYLWERFFSTR,13,Noord,7-6-2009
FT201,FT,Fietstrommel,BYLWERFFSTR,33,Noord,7-6-2009
FT202,FT,Fietstrommel,BYLWERFFSTR,45,Noord,13-7-2010
FT203,FT,Fietstrommel,VROESENLN,54,Noord,13-7-2010
FT204,FT,Fietstrommel,VROESENLN,54,Noord,7-6-2009
FT205,FT,Fietstrommel,J V TROYENSTR,3,Noord,7-6-2009
FT206,FT,Fietstrommel,SCHEPENSTR,76,Noord,7-6-2009
FT207,FT,Fietstrommel,SCHEPENSTR,80,Noord,7-6-2009
FT208,FT,Fietstrommel,BLOMMERSDYKSELN,35,Noord,7-6-2009
FT209,FT,Fietstrommel,J CATSSTR,27,Noord,7-6-2009
FT21,FT,Fietstrommel,ZESTIENHOVENSTR,34a,Noord,7-6-2009
FT210,FT,Fietstrommel,V BEUNINGENSTR,9,Noord,26-4-2011
FT211,FT,Fietstrommel,NOBELSTR,69,Noord,7-6-2009
FT212,FT,Fietstrommel,NOBELSTR,69,Noord,7-6-2009
FT213,FT,Fietstrommel,BERGSELN,295,Noord,13-7-2010
FT214,FT,Fietstrommel,A KUYPERLN,80,Noord,30-5-2012
FT215,FT,Fietstrommel,HEEMSTEESTR,111,Noord,13-7-2010
FT216,FT,Fietstrommel,1E PYNACKERSTR,139,Noord,13-7-2010
FT217,FT,Fietstrommel,BYLWERFFSTR,11,Noord,7-6-2009
FT218,FT,Fietstrommel,VROESENLN,73-75,Noord,13-7-2010
FT219,FT,Fietstrommel,BYLWERFFSTR,65,Noord,7-6-2009
FT22,FT,Fietstrommel,OOSTMAASLN,125,Kralingen/Crooswijk,7-6-2009
FT220,FT,Fietstrommel,SCHEPENSTR,108,Noord,7-6-2009
FT221,FT,Fietstrommel,SCHIEKD,7,Noord,7-6-2009
FT222,FT,Fietstrommel,SCHIEKD,7,Noord,7-6-2009
FT223,FT,Fietstrommel,STATIONSSNGL,65,Noord,7-6-2009
FT224,FT,Fietstrommel,DIERGAARDESNGL,55,Centrum,7-6-2009
FT225,FT,Fietstrommel,S GRAVENDYKWAL,80,Centrum,13-7-2010
FT226,FT,Fietstrommel,AEGIDIUSSTR,88,Kralingen/Crooswijk,7-6-2009
FT227,FT,Fietstrommel,1E JERICHOSTR,76,Kralingen/Crooswijk,7-6-2009
FT228,FT,Fietstrommel,MILLINXSTR,126,Charlois,13-7-2010
FT229,FT,Fietstrommel,MYNSHERENLN,160,Charlois,13-7-2010
FT23,FT,Fietstrommel,OOSTMAASLN,123,Kralingen/Crooswijk,7-6-2009
FT230,FT,Fietstrommel,PR HENDRIKLN,38,Feijenoord,7-6-2009
FT231,FT,Fietstrommel,VD TAKSTR,118,Feijenoord,7-6-2009
FT232,FT,Fietstrommel,PERSOONSSTR,65,Feijenoord,13-7-2010
FT233,FT,Fietstrommel,MILLINXSTR,110,Charlois,7-6-2009
FT234,FT,Fietstrommel,MILLINXSTR,110,Charlois,7-6-2009
FT235,FT,Fietstrommel,PR MAURITSSNGL,21,Overschie,7-6-2009
FT236,FT,Fietstrommel,A CUYPSTR,2,Overschie,13-7-2010
FT237,FT,Fietstrommel,DE LORMESTR,3,Overschie,7-6-2009
FT238,FT,Fietstrommel,DE LORMESTR,3,Overschie,7-6-2009
FT239,FT,Fietstrommel,BUTTERVLIETSTR,13,Overschie,13-7-2010
FT24,FT,Fietstrommel,OOSTMAASLN,123,Kralingen/Crooswijk,7-6-2009
FT240,FT,Fietstrommel,SAENREDAMPLN,5,Overschie,13-7-2010
FT241,FT,Fietstrommel,SAENREDAMPLN,5,Overschie,13-7-2010
FT242,FT,Fietstrommel,PROF BOLKLN,10,Overschie,7-6-2009
FT243,FT,Fietstrommel,T JACOBALN,2,Overschie,7-6-2009
FT244,FT,Fietstrommel,BURG BOSSTR,51,Overschie,7-6-2009
FT245,FT,Fietstrommel,BURG BOSSTR,73,Overschie,7-6-2009
FT246,FT,Fietstrommel,ZESTIENHOVENSEKD,5,Overschie,7-6-2009
